companyId,bossUid,jobName,ext,jobCityList,graduationYear,eduLevel,salaryType,salaryMin,salaryMax,salaryMonth,companyName,scaleTagName,personScales,companyShortName,address
139,9034,AI agent 客户端SDK研发 - python,"{""requirements"":""1、熟悉python开发，对python 并发编程，网络编程有一定了解\n2、了解或者使用过GPT类大模型的客户端SDK优先，比如langchain、openai等\n3、对数据结构、设计模式一定理解\n4、了解VUE前端或者go相关的知识优先"",""infos"":""大预言模型 客户端SDK开发\n- 客户端SDK开发、性能调优、架构优化  - （python） - 开源 \n      - 限速、服务端控制请求速率、全链路监控\n- 开源项目构建和文档管理\n  - 从0-1构建开源的客户端SDK，维护SDK项目""}","[""上海""]",毕业不限,5000,1,200,250,0,百度,上市,10000人以上,百度,北京
896,33880,软件测试开发工程师（实习）,"{""requirements"":""1、计算机相关专业，本科及以上学历\n2、有测试开发实习经验优先，有大模型调优、应用经验优先；\n3、具备扎实的计算机基础，熟练掌握至少一种编程语言如Java/JavaScript/Python/Shell等，具备良好的代码能力；\n4、了解各类软件测试方法和用例设计方法，掌握和应用单元测试、接口测试、系统测试、安全性测试、性能测试等测试手段 ；\n5、熟悉开源测试工具框架及相关扩展应用，熟悉网络协议和网络环境的应用，有实际某一项测试技术领域的应用和开发经验； \n6、思维活跃，有较强的逻辑思维能力，有较强的技术热情和学习欲望，责任心强，积极主动，具备良好的沟通能力和团队协作能力；\n7、有任一一项 移动端/PC端软件/Web端产品测试经验，有完整的整机产品交付经验优先；\n8、了解可靠性工程理论，了解概率统计理论基础相关知识者优先。\n\n\n"",""infos"":""1、负责测试工具平台开发和维护优化； \n2、负责技术性专项测试工作（如性能、安全、功耗等）； \n3、负责提升整个研发团队的质量意识，落地开发测试流程最佳实践；\n4、负责通过其他类技术创新手段（如AI大模型应用）改善和提高整体研发质量和效率。""}","[""北京""]",毕业不限,5000,1,200,500,12,网易有道,上市,10000人以上,网易有道,南昌，重庆，昆明，北京，上海，东莞
14499,74086,【成都】Python数据开发实习生,"{""requirements"":""● 国内985高校计算机科学类本科及研究生在读\n● 熟练掌握Python，熟悉Linux环境\n● 热爱编程，有一定的代码项目经验\n● 自驱力强，对工作认真负责，渴望成长和提高\n● 优秀的分析和解决问题能力\n● 性格阳光，乐观，有优秀的沟通能力和良好的社交习惯\n\n额外加分项\n● 省级以上物理数学类竞赛获奖经历者\n● 熟练使用数据分析工具，例如 numpy、pandas 和 matplotlib"",""infos"":""天王星量化旗下数据科学团队，正在寻找Python数据开发实习生加入我们的数据科学研究系统开发项目，您将在优秀的开发人员的指导下，学习并参与数据清洗和因子优化的工作。\n\n岗位职责\n● 有机会学习量化交易相关的数据科学知识，包括不限于自动化数据清洗、采样、特征构造等\n● 有机会参与开发量化交易研究的回测系统组件\n● 有机会协助量化研究人员开发alpha因子、拟合工具、组合优化工具等\n● 有机会参与学习和开发机器学习算法相关组件\n● 完成上级交代的其他任务\n""}","[""成都""]",毕业不限,5000,1,300,600,0,上海仲阳天王星数据科技有限公司,未融资,100-499人,上海仲阳天王星数据科技有限公司,上海 成都 深圳
276534,103232,Python实习工程师,"{""requirements"":""\n任职资格：\n1. 熟悉python；\n2. 熟悉常用数据库；\n3. 本科及以上学历，具备一定工作经验优先。"",""infos"":""岗位职责：\n1. 功能模块接口设计，数据存储设计；\n2. 实现业务逻辑，调用链优化；\n3. 持续优化性能，提高程序稳定性；\n4. 完成一部分相关的前端开发工作。""}","[""武汉""]",毕业不限,5000,1,80,200,0,智赋未来(武汉)信息科技有限公司,未融资,暂无,智赋未来(武汉)信息科技有限公司,武汉市
735,20657,Python开发工程师,"{""requirements"":""1、本科及以上学历，计算机类、通信类或数学类专业；\n2、熟练掌握Python等编程语言； \n3、 熟练掌握MySQL、MongoDB原理及机制，掌握各种查询语法具有数据库设计和SQL优化能力； \n4、熟悉多进程、多线程、协程，熟悉常见的网络编程模型； \n5、有数据分析、机器学习相关工作经验优先；\n6、高并发、高性能的分布式系统的设计和开发经验者优先；\n7、有数字信号处理、线性代数等基础优先，有科研经验优先；\n8、了解Python web框架，如Flask、Django、aiohttp框架，熟悉各种常用设计模式。\n此岗位为科大讯飞集团统一招聘岗位，人员通过简历筛选、笔试、初试、复试、终审等环节后录用。"",""infos"":""1、负责产品后台接口的设计、开发和部署； \n2、参与产品应用服务的需求分析、设计及开发，保证产品的稳定性及性能；\n3、根据设计文档和需求说明完成代码编写、调试、单元测试、维护及上线。\n******岗位只针对26届哈，25届算社招就不用投递了******""}","[""合肥""]",2026届,5000,2,0,9999999,12,科大讯飞,上市,10000人以上,科大讯飞,合肥
12042,71680,Python开发工程师（2026校招）(J11195),"{""infos"":""1. 参与公司产品研发、项目开发工作，在充分理解业务需求基础上，完成产品需求实现\n2. 根据产品需求完成模块设计、代码实现和调测优化等工作\n3. 负责地区维度/税种维度的RPA开发工作\n4. 协助完成上线运营，后期维护工作\n5. 参与技术攻关与创新技术引用，不断完善和优化已有产品"",""requirements"":""1. 2026届应届毕业生，985/211/双一流理工科院校，本科及以上学历，计算机/软件工程/人工智能等相关专业\n2. 技术/项目：熟悉Python开发语言，了解JavaScript，在校期间有获奖项目优先，有实际项目/实习经验优先\n3. 良好的学习能力，团队沟通协作能力，抗压能力强，责任感强，踏实勤奋"",""jobStrength"":""""}","[""南京""]",毕业不限,5000,2,13,22,12,云帐房,D轮及以上,1000-9999人,云帐房,南京
289623,108236,测试（开发）实习生,"{""requirements"":""职位要求：\n1. 计算机相关专业在校生；\n2. 有一定脚本开发能力，熟悉Shell、Python优先；\n3. 了解Web软件测试技巧，了解测试理论基础，了解客户端软件优先；\n4. 能够承受一定的工作强度和压力，自我驱动力强，良好的理解能力、沟通能力和协调能力，具备很强的学习能力.\n我们提供：  \n1、深入参与产品从需求到上线的全流程，积累实战经验；  \n2、与资深研发、产品同事协作，快速提升技术视野与业务理解；  \n3、开放的技术氛围，鼓励创新与尝试，支持你探索更优的测试方案；  \n4、清晰的成长路径和晋升机制，助你稳步迈向职业新高度。"",""infos"":""我们正在寻找一位细致严谨、热爱技术的测试工程师，加入我们充满活力的团队！如果你对软件质量保障充满热情，享受发现和解决问题的成就感，并希望在一个快速成长的环境中不断提升自己，那么这个岗位正适合你！  \n岗位职责：  \n1、参与产品需求和技术评审，从测试和用户体验角度提出专业建议，确保产品可测试性与用户满意度；  \n2、设计、编写和优化测试用例，结合真实业务场景，探索更高效的测试方法和策略；  \n3、执行功能测试、兼容性测试等，准确记录并反馈问题，协助开发定位和复现缺陷，推动问题高效解决；  \n4、参与制定测试计划，完成测试报告汇总，保障产品迭代质量；  \n5、探索并引入前沿测试技术和工具，提升团队测试效率与质量水平。\n6、设计、编写和优化测试用例，结合真实业务场景，探索更高效的测试方法和策略；  \n7、执行功能测试、兼容性测试等，准确记录并反馈问题，协助开发定位和复现缺陷，推动问题高效解决；  \n8、参与制定测试计划，完成测试报告汇总，保障产品迭代质量；  \n9、探索并引入前沿测试技术和工具，提升团队测试效率与质量水平。  \n工作内容\n1. 负责SaaS产品API、客户端、web、h5等功能测试，保障公司产品质量，新需求的新增功能；\n2. 分析系统需求，跟进理解新增需求或变更需求，对比原有功能，正确评估工作量，影响范围等；\n3. 响应并跟踪客户反馈的缺陷：\n   1）提交Bug，跟踪Bug修正过程，反馈给客户解决方案和时间；\n   2）使用Bug管理工具；\n4. 设计与编写测试用例，作为每次功能测试的执行依据，并且不断地根据业务需求变化维护测试用例；\n5. 负责测试环境测试数据准备，协助定位缺陷，跟踪缺陷并完成回归测试；\n6. 执行冒烟，集成，系统，回归，兼容测试；\n7. 总结测试过程，编写测试报告，及时反馈测试结果，并参与问题的分析和讨论.""}","[""深圳""]",毕业不限,5000,1,140,190,0,浩迹智能,天使轮,0-20人,浩迹智能,深圳市
294969,109180,Python开发工程师,"{""requirements"":""1、本科及以上学历,计算机、通信等相关专业;\n2、深刻理解计算机原理和常用组件,有良好的数据结构和算法基础, 具备一定的前端开发能力;\n3、具备一定程度的工程化抽象能力, 对达到事物本该的样子有追求;\n4、学习能力强, 责任心强者优先。"",""infos"":""1、负责数据系统业务研发工作;\n2、负责机器人数据生产链的全流程保障；\n3、包括后端开发, sdk发布, 数据可视化；\n4、主要实现语言为Python/golang/C++。""}","[""北京""]",毕业不限,5000,1,290,300,0,原力灵机,未融资,暂无,原力灵机,北京市
147202,37004,AI智能体开发实习生（远程）,"{""requirements"":""\t1、远程实习，每周至少能工作4天以上；\n\t2、大三及以上（大二学生有实际开发项目经历优先）\n        3、熟悉大模型，有过大模型或大模型应用相关的开发经验\n        4、熟练使用当前主流的AI agent，如豆包、chatgpt、cursor、copilot等\n        5、prefer: 对golang\\python\\java语言可以熟练运用\n\t6、了解git，使用过gitlab或github做多人项目的开发，了解git里面主线、分支的概念，熟悉git的基本操作；\n\t7、对代码质量有高要求，能在开发过程中编写单元测试"",""infos"":""1、协助开发工程师一起，基于现有工业研发管理软件MappingSpace，开发AI agent\n2、独立完成某些模块的开发，独立完成单元测试用例的编写\n""}","[""苏州""]",毕业不限,5000,1,100,200,0,苏州云体科技有限公司,天使轮,20-99人,苏州云体科技有限公司,苏州
10727,109700,Python开发,"{""requirements"":""任职要求： 最低25届\n1. 熟练掌握Python语言，有一定的Web开发经验。\n2. 熟悉MySQL、Oracle、MongoDB等常用数据库之一，了解数据库设计和性能优化。\n3. 具备基本的Linux操作和维护知识。\n4. 能够快速学习新的技术和工具，善于思考和解决问题。\n5. 具备较强的团队合作能力和沟通能力。"",""infos"":""岗位内容：\n1. 参与Python Web应用程序的开发和维护。\n2. 配合团队完成项目计划和进度，协调解决团队合作中的问题。\n3. 编写和维护高质量的代码，确保代码易于理解、可维护和可扩展。\n4. 参与应用程序架构设计、性能优化和版本管理。\n5. 利用Python技术进行数据分析和处理。""}","[""深圳""]",2025届,5000,2,13,23,14,北京外企德科人力资源服务上海有限公司,未融资,1000-9999人,北京外企德科人力资源服务上海有限公司,上海
